region,GDP PPP step 1
United States of America,1.13
China,0.97
Japan,1.65
India,1.01
Germany,1.39
Russia,0.75
United Kingdom,1.41
Brazil,0.83
France,1.17
Italy,1.34
Mexico,0.94
"Korea, South",1.79
Spain,1.13
Canada,0.75
Indonesia,0.91
Turkey,0.98
Australia,0.77
Iran,0.88
Taiwan,2.12
Poland,1.05
Netherlands,1.75
Argentina,0.8
Saudi Arabia,0.84
Thailand,1
South Africa,0.87
Egypt,0.88
Pakistan,0.89
Colombia,0.86
Malaysia,1.03
Belgium,1.59
Nigeria,0.87
Sweden,0.86
Philippines,1.01
Venezuela,0.86
Austria,1.19
Greece,1.11
Switzerland,1.42
China,6.14
Ukraine,0.85
Singapore,8.39
Vietnam,0.96
Peru,0.81
Czech Republic,1.14
Chile,0.84
Norway,0.86
Bangladesh,1.09
Algeria,0.77
Romania,0.95
Portugal,1.13
Israel,1.6
Denmark,1.18
Kazakhstan,0.74
Hungary,1.05
Finland,0.82
United Arab Emirates,1.16
Ireland,1.07
Morocco,0.82
Qatar,1.79
Kuwait,1.54
Belarus,0.88
Slovakia,1.12
New Zealand,0.87
Angola,0.78
Iraq,0.84
Ecuador,0.91
Syria,0.93
Sri Lanka,1.14
Tunisia,0.95
Sudan,0.74
Libya,0.76
Bulgaria,0.98
Azerbaijan,1.04
Dominican Republic,1.21
Uzbekistan,0.83
Ethiopia,0.78
Serbia,1.04
Croatia,1.11
Oman,0.88
Burma,0.81
Guatemala,1.04
Kenya,0.83
Yemen,0.85
Tanzania,0.79
Lebanon,1.8
Lithuania,1.03
Slovenia,1.39
Costa Rica,1.21
Bolivia,0.78
Uruguay,0.94
Cameroon,0.85
El Salvador,1.52
Panama,1.12
Uganda,0.92
Luxembourg,2.62
Ghana,0.92
Cote D'Ivoire,0.88
Turkmenistan,0.83
Jordan,1.05
Nepal,0.97
Honduras,1.03
Latvia,1.03
Paraguay,0.85
Afghanistan,0.81
Bahrain,5.61
Bosnia and Herzegovina,1.13
Cambodia,0.95
Botswana,0.82
Trinidad and Tobago,2.38
Albania,1.31
Equatorial Guinea,1.42
Estonia,1.08
Jamaica,1.81
Congo (Brazzaville),0.75
Cyprus,2.19
Senegal,0.94
Gabon,0.91
Georgia,1.07
Mozambique,0.8
Brunei,2.3
Burkina Faso,0.9
Zambia,0.81
Macedonia,1.34
Madagascar,0.82
Armenia,1.3
Chad,0.77
Congo (Kinshasa),0.88
Mali,0.77
Mauritius,3.34
Nicaragua,1.01
Laos,0.92
Namibia,0.8
Papua New Guinea,0.85
Tajikistan,0.96
Benin,1.03
Malawi,1.02
Iceland,0.92
Kyrgyzstan,0.91
Rwanda,1.44
Guinea,0.91
Haiti,1.4
Niger,0.78
Malta,6.84
Moldova,1.23
Mongolia,0.75
Bahamas,1.72
Mauritania,0.78
Montenegro,1.57
Swaziland,1.56
Togo,1.18
Barbados,6.45
Guyana,0.93
Sierra Leone,1.13
Suriname,0.99
Bhutan,1.25
Eritrea,1.01
Fiji,1.54
Zimbabwe,0.86
Belize,1.47
Burundi,1.42
Central African Republic,0.82
"Gambia, The",1.86
Lesotho,1.33
Timor-Leste,1.67
Cape Verde,2.61
Djibouti,1.49
Guinea-Bissau,1.34
Liberia,1.07
Maldives,10.82
Saint Lucia,5.62
Seychelles,6.71
Solomon Islands,1.41
Antigua and Barbuda,7.87
Comoros,3.66
Dominica,5.16
Grenada,7.22
Kiribati,4.82
Kosovo,1.68
Saint Kitts and Nevis,8.1
Saint Vincent and the Grenadines,7.03
Samoa,2.98
Sao Tome and Principe,4.5
Tonga,5.49
Vanuatu,1.76
