Kazakhstan,0.095938497
Russia,0.102446583
Algeria,0.10690049
Sudan,0.107628003
Congo (Brazzaville),0.110132431
Libya,0.11719969
Saudi Arabia,0.12190205
Chad,0.127134152
Mali,0.12717142
Peru,0.127230982
Angola,0.128108168
Niger,0.12906011
Ethiopia,0.131714527
Bolivia,0.131894222
Mauritania,0.132799619
Chile,0.138213528
Nigeria,0.138984978
Namibia,0.140243642
Iran,0.142688517
Zambia,0.14517634
Ukraine,0.14769423
Burma,0.148251441
Morocco,0.150514235
Madagascar,0.152887547
Botswana,0.15313572
Central African Republic,0.153280659
Turkmenistan,0.154431534
Uzbekistan,0.154868308
Kenya,0.15517178
Iraq,0.160313931
Yemen,0.164342663
Cameroon,0.164682978
Paraguay,0.167671255
New Zealand,0.175999702
Belarus,0.177480102
Oman,0.179324674
Cote D'Ivoire,0.180497794
Vietnam,0.187280836
Burkina Faso,0.187307896
Australia,0.187625941
Kyrgyzstan,0.189916126
Gabon,0.190725379
Colombia,0.190842476
Ecuador,0.191532132
Guinea,0.19284435
Romania,0.193083975
Uganda,0.194099127
Ghana,0.194288196
Laos,0.194421583
Iceland,0.194575026
Argentina,0.195144978
Syria,0.197422717
Pakistan,0.198440681
Venezuela,0.199785151
Guyana,0.200584444
South Africa,0.201213848
Senegal,0.202960984
Tunisia,0.206731386
Cambodia,0.207430698
Tajikistan,0.208741252
Bulgaria,0.217782766
Suriname,0.220501907
Finland,0.225899257
Indonesia,0.228249832
Malawi,0.230050152
Benin,0.232380289
Latvia,0.232781349
Lithuania,0.234738222
Azerbaijan,0.235078327
Guatemala,0.235234923
Serbia,0.237717839
Jordan,0.239966027
Egypt,0.242139781
Georgia,0.246320074
Philippines,0.248174315
Estonia,0.250488037
Croatia,0.258043561
Panama,0.260203851
Slovakia,0.262013012
Bosnia and Herzegovina,0.262996389
Sweden,0.269693893
Thailand,0.270995639
Togo,0.278005849
Malaysia,0.284729004
Costa Rica,0.285223872
United Arab Emirates,0.285884794
Moldova,0.290058966
Czech Republic,0.294317169
Armenia,0.307181935
Albania,0.309564662
Lesotho,0.315859374
Norway,0.317568983
Macedonia,0.31762729
Guinea-Bissau,0.318109861
Canada,0.328391339
Hungary,0.328902267
Slovenia,0.329551352
Equatorial Guinea,0.336853452
Rwanda,0.341272191
Mexico,0.344995074
Turkey,0.348977875
China,0.351866886
El Salvador,0.35741757
Poland,0.361952772
Kuwait,0.3629308
Swaziland,0.366287543
Qatar,0.408826161
Brazil,0.420040274
Gambia| The,0.422437044
Denmark,0.430301453
Lebanon,0.437381997
Portugal,0.460479279
Ireland,0.465979407
India,0.472681169
Cyprus,0.478529571
Austria,0.529917107
Cape Verde,0.540155763
Luxembourg,0.541080674
Taiwan,0.568648922
Switzerland,0.569110896
Korea| South,0.592171358
Israel,0.607334497
Greece,0.610567141
Mauritius,0.6332765
Spain,0.642579652
Hong Kong S.A.R.,0.744065383
Dominica,0.820750686
Bahrain,0.860896181
Saint Lucia,0.86168248
Netherlands,0.893399137
Belgium,0.90147592
France,0.939529793
Seychelles,0.95177148
Malta,0.96241021
Saint Vincent and the Grenadines,0.976729604
Grenada,0.991762211
United Kingdom,1.018561906
Saint Kitts and Nevis,1.056047357
Germany,1.129375334
United States of America,1.404207962
Italy,1.205193649
Singapore,1.928031122
Japan,2.616791822
